UNI360	7	4	3	4	0	15	2	0	4	5	5	0	0	1	3	7	4	5	0	1	1	8	0	34	1	0	0	0	3	0	1	0	0	0	3	3	3	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	3	1	0	0	4	2	4	0	0	0	8	1	0	1	2	2	0	1	1	1	1	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0
UNI345	10	12	5	2	15	0	0	0	1	16	36	9	1	0	2	25	0	9	0	7	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	0	1	1	4	3	2	3	0	0	0	0	1	0	0	1	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
UNI667	11	1	4	2	1	1	6	0	4	0	3	0	0	0	3	4	2	7	0	2	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	0	4	0	0	1	0	1	1	0	0	3	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	2	0	0	0	3	0	3	0	0	0	0	0	1	4	7	0	0	3	0	0	0	0	1	0	1
UNI493	3	1	2	0	0	10	4	8	0	0	0	0	7	5	0	5	1	0	0	2	0	0	0	1	2	0	0	2	1	0	0	1	0	1	0	1	0	4	1	2	0	0	0	0	0	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	2	5	5	0	3	4	0	2	0	0	4	0	26	2	1	0	0	2	0	0	2	1	0	6	4
UNI3391	4	0	1	2	0	0	1	1	8	0	0	1	1	1	0	2	0	0	0	3	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
UNI967	27	5	10	35	1	44	11	4	28	14	21	0	4	5	6	21	12	8	0	9	0	14	2	111	6	4	0	1	9	4	6	0	0	1	5	9	13	0	0	0	3	0	2	0	0	0	5	0	0	8	5	6	11	4	3	4	10	4	6	6	5	0	14	1	4	2	10	4	2	2	3	3	1	2	1	1	1	0	0	0	1	32	9	0	0	0	0	0	0	0
UNI258	25	0	9	0	0	28	0	0	0	2	49	0	0	0	44	27	1	0	0	0	0	0	0	18	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	13	15	22	0	2	0	0	0	0	0	0	0	0	3	40	0	5	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0
UNI986	103	36	3	12	0	1	11	0	12	7	9	0	4	1	1	10	22	5	7	12	263	16	1	0	0	0	0	0	6	2	2	0	0	0	4	7	14	1	1	4	11	0	0	0	0	0	6	0	1	0	2	0	2	1	1	10	1	4	4	4	0	0	0	0	1	6	0	28	8	9	5	11	2	0	2	8	0	1	6	7	0	2	3	0	1	0	1	0	16	0
UNI1325	7	27	9	3	0	11	0	0	7	7	1	0	0	0	1	16	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	0	1	3	1	5	3	0	4	0	0	2	0	0	0	0	0	0	2	7	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	3
UNI1406	29	1	0	0	0	8	6	0	1	8	0	0	0	0	0	1	8	0	0	0	0	1	2	0	0	0	0	2	2	0	5	10	3	1	0	6	1	0	0	0	1	21	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	2	15	0	9	0	0	0	0	1	0	0	1	0	0	1	0
UNI1120	2	0	0	0	0	0	0	0	0	4	2	1	0	0	0	3	35	10	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNI91	37	53	35	5	36	0	0	0	0	81	155	18	5	0	40	96	7	43	0	15	1	10	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	15	20	0	0	8	17	9	7	13	5	0	0	3	2	0	0	1	1	2	0	27	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0
UNI1739	10	9	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	1	1	0	0	0	1	2	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	1	0	2	1	2	1	3	0
UNI531	76	35	2	21	0	1	14	3	10	5	8	0	3	0	3	9	12	3	1	5	207	17	1	2	0	0	0	1	10	1	0	0	0	0	4	15	10	4	0	2	6	0	0	0	0	1	4	0	0	0	0	1	1	0	0	6	1	4	3	1	1	0	0	1	2	2	0	25	2	4	6	9	1	0	0	3	0	1	6	5	0	2	0	0	0	0	1	1	30	1
